x,y
1.71237996,6.76179419
1.10820303,4.63410405
7.85345839,4.11895283
8.44460538,4.34900042
0.72660376,0.46718386
6.26073381,5.32299544
2.31823484,0.90962087
2.15572194,9.49258478
1.45527938,8.46041966
1.11946135,2.98662661
3.18749874,1.96901577
4.45884782,9.1574173
7.35940213,7.00451775
7.79959544,4.0139031
4.4148161,1.92210155
2.95241658,9.9281871
6.38260495,8.32349625
0.06964825,7.13369907
0.39131719,1.80568102
4.39988725,0.03287984
1.03091055,0.67771498
0.56224768,4.65679618
2.41381401,2.21856792
4.35112566,1.71507444
1.12389098,9.57472014
9.61343775,6.31949551
0.05301431,7.88313758
3.09110652,9.32184184
2.35869274,4.43963837
7.54764001,2.00921114
5.84357887,1.36047823
9.13594061,8.46835102
3.59899638,1.66253983
6.51222117,5.98373253
5.99033405,8.83966701
3.51453969,7.90069004
3.22072527,9.85721164
0.30444358,0.17968553
7.41593814,5.68667123
1.93751033,2.30778044
3.8779591,3.2166885
3.39360578,5.06871748
6.43340716,2.90579966
9.67164217,3.09662742
2.06265301,3.29894124
7.21186488,1.98433512
6.1178612,4.10033641
4.37968672,1.2721522
4.64777928,0.21064452
7.05219448,1.84927238
7.75656179,2.18226734
9.22348466,3.8400076
8.9991745,4.82866194
8.53899382,3.01023878
6.08886087,1.66991602
8.34014488,3.06733781
0.56926029,7.31386446
2.92269661,1.5934237
8.08859272,0.63046965
9.29674816,7.78442539
8.44002413,5.28121595
2.94264191,8.93308152
7.80747317,5.63258116
6.90324118,5.52193813
2.58435697,3.25829003
7.01284457,1.46640715
3.00382217,1.80096387
2.806288,9.26710711
1.15637473,5.08084432
9.09985424,9.32691001
0.08456541,9.54749048
0.04721989,2.21178243
