x,y
4.44962391,6.36561427
1.02424909,5.24410103
1.752448,8.96629902
1.02153806,6.3662254
4.93102375,7.99255592
1.09357792,8.40551511
1.17786784,2.41932462
5.86932242,2.37135236
5.38255261,3.40546586
9.1138367,3.84162638
0.58520743,1.10265675
4.69008102,9.45378553
1.91570711,2.33433733
5.12508105,4.13500238
6.56994321,9.41359529
8.56227225,8.15002141
8.06289002,5.65643152
0.64504379,2.79603311
6.97893155,3.9996785 
1.4622415 ,4.93657525
5.88790781,1.98933668
7.17482878,9.5990895
0.2405306,8.1399904
5.05369679,9.53103001
2.91313592,0.79217297
8.14277553,8.55073759
5.40835651,3.35624673
2.12619643,1.95955059
6.58853921,7.05611597
9.88288594,8.21987717
8.89907039,8.73228256
3.2358793,7.94850822
5.85875356,9.43924011
7.73266381,2.85655965
4.52677842,7.41920429
7.3939291,7.91476755
2.75182651,3.98157342
4.16152244,7.72676098
0.54262099,3.56117936
3.73742488,8.8002259
7.98383559,1.36040489
8.90320807,0.64344095
2.42335974,7.4386989
6.95748434,3.41546986
7.65683409,4.03193277
4.71550955,0.54236251
6.48598988,2.67343261
0.11818252,2.25886263
5.8218619,1.50425159
8.84475287,2.52532861
0.28502676,8.31641346
4.54747883,5.91489282
0.14410544,1.54380351
0.169523,9.27304072
9.834549,4.20037296
7.67356443,4.89672792
8.15261519,5.14814973
8.42132916,2.89240309
8.35705419,9.19601791
4.10908572,5.98443462
6.9554287,6.78733252
7.75177224,6.9472589
5.983003,7.98235944
1.88107143,7.65153436
